Symptom : anxiety, Occurrence : 5 times
Symptom : arrhythmias, Occurrence : 3 times
Symptom : blindness, Occurrence : 1 times
Symptom : blurred vision, Occurrence : 5 times
Symptom : constricted pupils, Occurrence : 3 times
Symptom : cough, Occurrence : 6 times
Symptom : dilated pupils, Occurrence : 4 times
Symptom : dizziness, Occurrence : 5 times
Symptom : dry mouth, Occurrence : 8 times
Symptom : fever, Occurrence : 7 times
Symptom : headache, Occurrence : 3 times
Symptom : high blood pressure, Occurrence : 10 times
Symptom : inflamation, Occurrence : 7 times
Symptom : insomnia, Occurrence : 4 times
Symptom : low blood pressure, Occurrence : 4 times
Symptom : nausea, Occurrence : 5 times
Symptom : rapid heart rate, Occurrence : 1 times
Symptom : rash, Occurrence : 4 times
Symptom : shortness of breath, Occurrence : 3 times
Symptom : stiff neck, Occurrence : 4 times
Symptom : stomach pain, Occurrence : 3 times
Symptom : tremor, Occurrence : 4 times
Symptom : water retention, Occurrence : 1 times
